,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
7,文山區,房地(土地+建物)+車位,臺北市文山區福興路１０６巷３７號九樓,34.48,住,,,1110122,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010827,240.23,4,2,2,有,有,31780000,174473,坡道平面,83.3,4400000,夾層；,RPVOMLSLLHHGFAA08DA,124.1,4.64,5.24,有,5.0
9,中正區,房地(土地+建物),臺北市中正區延平南路１５０號七樓之２,13.55,商,,,1110115,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723,138.23000000000002,0,0,0,無,有,42220000,305433,,0.0,0,毛胚屋；,RPQNMLOLJHHGFBA96DA,89.72,2.8,6.02,有,
10,中正區,房地(土地+建物)+車位,臺北市中正區延平南路１５０號十一樓,28.95,商,,,1110128,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723,328.44,0,0,0,無,有,97530000,317717,坡道平面,35.17,4350000,毛胚屋；,RPVOMLQLJHHGFBA77DA,189.65,8.86,10.04,有,
17,中正區,房地(土地+建物)+車位,臺北市中正區延平南路１５０號十三樓之１,20.98,商,,,1110211,土地1建物1車位1,十三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723,245.05,0,0,0,無,有,68580000,310082,坡道平面,35.17,3500000,毛胚屋；,RPTNMLKMLHHGFBA17DA,122.14,3.75,23.69,有,
23,內湖區,房地(土地+建物),臺北市內湖區內湖路二段１０３巷１１９弄５號一樓,7.1,都市：其他:第三種住宅區。,,,1110224,土地2建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720331,56.07,1,1,1,有,有,9400000,167648,,0.0,0,其他增建；,RPSSMLSJLHHGFCA18DA,45.14,1.86,0.0,有,12.0
30,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段６０巷３９號十二樓,35.97,住,,,1101210,土地1建物1車位2,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060407,279.90999999999997,3,2,2,有,有,58000000,207209,坡道平面,0.0,0,,RPXRMLLLLHHGFCA08DA,156.16,13.75,7.48,有,
31,中山區,房地(土地+建物)+車位,臺北市中山區復興北路１９２號七樓之４,16.19,住,,,1110208,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750609,84.7,2,1,1,有,有,7100000,83825,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRQMLMLLHHGFCA47DA,65.97,0.0,5.58,有,
41,信義區,房地(土地+建物)+車位,臺北市信義區信義路五段１５０巷１０號十樓,18.45,住,,,1110113,土地1建物1車位1,十層，電梯樓梯間,三十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0861024,174.19,3,2,2,有,有,42580000,308611,坡道平面,45.29,2800000,車位位於地下第6層,RPXPMLLLLHHGFDA97DA,107.26,1.69,11.81,有,15.0
50,士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２３號九樓,40.04,住,,,1110103,土地1建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,282.90999999999997,3,2,2,有,有,65050000,272597,坡道平面,60.42,4400000,,RPQOMLPLKHHGFEA57DA,124.72,5.7,14.67,有,
51,北投區,房地(土地+建物)+車位,臺北市北投區天母西路１３０巷１號五樓,43.07,商,,,1110113,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0920708,236.42000000000002,3,2,3,有,有,57000000,241096,坡道平面,0.0,3000000,其他增建；,RPWOMLKKLHHGFEA67DA,132.76,0.0,13.64,有,
