鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區興隆路一段５５巷２７弄３１號七樓,47.04,住,,,1110228,土地1建物2車位2,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010202,316.53999999999996,4,2,3,有,有,58500000,184811,坡道平面,0.0,0,,RPROMLOJLHHGFAA07DA,138.23,18.15,12.6,有,001
文山區,房地(土地+建物),臺北市文山區興隆路四段５２巷５號三樓,20.1,住,,,1110218,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,84.7,3,2,1,有,無,11000000,129870,,0.0,0,,RPTQMLOJLHHGFAA47DA,72.35,0.0,12.35,無,
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段９７號五樓,9.16,住,,,1110215,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030513,65.34,1,0,1,有,有,8880000,175944,坡道機械,25.1,1800000,陽台外推；夾層；其他增建；,RPUOMLRJLHHGFAA67DA,23.16,0.74,3.6,有,002
文山區,房地(土地+建物),臺北市文山區福興路８２巷３弄３號,22.99,住,,,1110120,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720905,90.8,3,2,1,有,無,10960000,120705,,0.0,0,其他增建；,RPSOMLOKKHHGFAA17DA,81.44,5.17,0.0,無,
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段８７號四樓,23.37,住,,,1110214,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030513,127.93,1,2,2,有,有,17790000,155499,坡道機械,25.1,1800000,其他增建；,RPVNMLPKLHHGFAA57DA,58.67,7.26,4.26,有,003
文山區,土地,萬隆段二小段216地號,465.15,都市：其他:道路用地(公共設施用地)。62/10/24,,,1110318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20445331,43954,,0.0,0,包含公共設施保留地用地；,RPUOMLSLLHHGFAA97DA,0.0,0.0,0.0,無,004
文山區,房地(土地+建物)+車位,臺北市文山區福興路１０６巷３７號九樓,34.48,住,,,1110122,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010827,240.23,4,2,2,有,有,31780000,174473,坡道平面,83.3,4400000,夾層；,RPVOMLSLLHHGFAA08DA,124.1,4.64,5.24,有,005
中正區,車位,臺北市中正區水源路７９之１號,0.1,商,,,1110318,土地2建物1車位1,一層,十五層,其他,停車塔,鋼筋混凝土造,0990607,1.73,0,0,0,有,有,950000,,塔式車位,1.72,950000,僅車位交易；,RPTOMLTLLHHGFAA97DA,0.0,0.0,0.0,有,006
中正區,房地(土地+建物),臺北市中正區延平南路１５０號七樓之２,13.55,商,,,1110115,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723,138.23000000000002,0,0,0,無,有,42220000,305433,,0.0,0,毛胚屋；,RPQNMLOLJHHGFBA96DA,89.72,2.8,6.02,有,
