鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物),高雄市鼓山區青海路８０號五樓之１,16.36,住,,,1110215,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,122.0,3,2,2,有,有,9550000,78279,,0.0,0,,RPSNMLPKKHHGFAE57DA,74.85,1.96,8.78,有,001
鼓山區,房地(土地+建物),高雄市鼓山區美術南三路２５３號五樓之２,21.51,住,,,1110218,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921022,176.76,3,2,2,有,有,14800000,83729,,0.0,0,,RPUPMLLJLHHGFAE57DA,119.03,1.13,4.69,有,
鼓山區,房地(土地+建物),高雄市鼓山區文忠路８９號六樓,8.42,商,,,1110302,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030925,90.25999999999999,2,2,1,有,有,8800000,97496,,0.0,0,陽台外推；,RPOPMLMJLHHGFAE07DA,51.14,0.0,5.94,有,002
鼓山區,房地(土地+建物),高雄市鼓山區青松街３６號,84.0,都市：其他:第三種特定商業專用區,,,1110114,土地1建物1車位0,全,二層,透天厝,,加強磚造,0630415,101.89,4,2,4,有,無,19150000,187948,,0.0,0,全棟屋況老舊.甲方同意自行修復並負擔修繕費用.乙方同意減價出售,RPOPMLLKLHHGFAE07DA,101.89,0.0,0.0,無,
前金區,房地(土地+建物),高雄市前金區中山橫路１５１之６號,11.76,商,,,1110313,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),,鋼筋混凝土造,0681126,60.29,3,1,1,有,有,4060000,67341,,0.0,0,,RPQNMLPKLHHGFAE47DA,60.29,0.0,0.0,有,003
鼓山區,房地(土地+建物),高雄市鼓山區九如四路１９９０巷１５弄９號四樓之１,22.11,住,,,1110115,土地3建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710318,74.32,2,2,1,有,無,4180000,56243,,0.0,0,,RPPQMLPKLHHGFAE67DA,74.32,0.0,0.0,有,004
鹽埕區,土地,鹽府段237地號,14.0,商,,,1110309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,121429,,0.0,0,未登記建物；,RPOOMLRKLHHGFAE57DA,0.0,0.0,0.0,無,
鼓山區,房地(土地+建物),高雄市鼓山區葆禎路５８巷６０號,61.0,住,,,1110223,土地1建物1車位0,全,二層,透天厝,,加強磚造,0630601,74.02,3,2,1,有,無,9800000,132397,,0.0,0,其他增建；,RPSNMLMLLHHGFAE47DA,74.02,0.0,0.0,無,005
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路２１１號九樓,14.33,商,,,1110221,土地1建物1車位1,九層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土、鋼骨鋼筋混凝土構造,1031006,257.71000000000004,4,2,2,有,有,25880000,100423,坡道平面,15.96,0,含傢俱設備費；,RPTOMLMLLHHGFAE67DA,138.41,3.88,13.29,有,006
