鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,房地(土地+建物),臺中市南區建國南路１段２６２號１６樓之２,17.26,住,,,1110212,土地1建物1車位0,十六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840429,178.48,3,2,2,有,有,8950000,50146,,0.0,0,,RPUQMLNLKHHGFAB67DA,108.71,0.95,14.72,有,
西區,房地(土地+建物)+車位,臺中市西區向上路一段４５９號４樓之６,16.21,住,,,1110301,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861022,86.71,2,2,1,有,有,7820000,90186,升降機械,0.0,500000,,RPOQMLLJLHHGFAB76DA,48.98,0.0,9.03,有,
南區,房地(土地+建物),臺中市南區工學北路８６號９樓之４８,1.83,商,,,1110219,土地1建物1車位0,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850506,30.47,1,0,1,有,有,1700000,55793,,0.0,0,,RPXNMLNJLHHGFAB57DA,16.58,0.0,3.46,有,
南區,房地(土地+建物),臺中市南區仁義街８６－１０號８樓,3.3,住,,,1110302,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840107,28.65,1,0,1,有,有,2180000,76091,,0.0,0,陽台外推；,RPSQMLNJLHHGFAB37DA,19.96,0.0,2.76,有,
南區,房地(土地+建物),臺中市南區仁義街８６－１１號８樓,3.3,住,,,1110302,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840107,28.689999999999998,1,0,1,有,有,2200000,76682,,0.0,0,陽台外推；,RPTQMLNJLHHGFAB47DA,19.6,0.0,3.1,有,
南區,房地(土地+建物),臺中市南區仁義街１８９巷３號,68.0,住,,,1110206,土地1建物1車位0,全,二層,透天厝,住家用,鐵筋加強磚造,0570504,87.48,8,0,8,有,無,9300000,106310,,0.0,0,含傢俱設備費；頂樓加蓋；,RPUNMLOJLHHGFAB37DA,87.48,0.0,0.0,無,001
中區,房地(土地+建物),臺中市中區民權路１６４號二十八樓之１１,3.86,商,,,1110226,土地2建物2車位0,二十八層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0860131,74.91,0,0,0,無,有,4050000,54065,,0.0,0,,RPRPMLOJLHHGFAB27DA,44.36,0.0,6.24,有,
南區,房地(土地+建物),臺中市南區復興路一段３１９之２０號二樓之七,4.86,商,,,1110228,土地2建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941219,36.63,1,1,1,有,有,2360000,64428,,0.0,0,,RPOPMLRJLHHGFAB27DA,20.77,0.0,2.64,有,
東區,房地(土地+建物)+車位,臺中市東區自由路四段２６７號７樓之１１,13.43,商,,,1110219,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931213,109.57,3,2,1,有,有,7680000,70092,坡道平面,33.09,0,夾層；,RPSOMLLKLHHGFAB07DA,48.08,0.0,2.7,有,
