鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
土城區,房地(土地+建物)+車位,新北市土城區學府路二段２６７號,18.63,住,,,1070718,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1101102,140.2,0,0,0,無,有,28420000,239423,坡道平面,29.35,1880000,土地買賣價格：1932萬，房屋買賣價格：910萬。本買賣為店鋪。預售屋、或土地及建物分件登記案件；,RPXPMLOJLHHGFAF28DA,69.27,0.0,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學府路二段２６９號二樓,19.75,住,,,1071007,土地1建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,161.04,2,2,1,有,有,16130000,120188,坡道平面,58.7,3830000,預售屋、或土地及建物分件登記案件；,RPOQMLOJLHHGFAF47DA,61.4,0.0,4.9,有,
土城區,房地(土地+建物)+車位,新北市土城區學府路二段２６９號十二樓,17.89,住,,,1081214,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,134.42000000000002,2,2,1,有,有,14650000,121348,坡道平面,29.35,1900000,預售屋、或土地及建物分件登記案件；,RPRQMLOJLHHGFAF77DA,61.4,3.56,4.07,有,
土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７３號二樓,14.39,住,,,1080324,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,111.1,2,2,1,有,有,11550000,118043,坡道平面,29.35,1900000,預售屋、或土地及建物分件登記案件；,RPUQMLOJLHHGFAF08DA,48.81,0.0,4.24,有,
土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７３號三樓,14.9,住,,,1070712,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,114.74,2,2,1,有,有,11650000,115353,坡道平面,29.35,1800000,預售屋、或土地及建物分件登記案件；,RPVQMLOJLHHGFAF18DA,48.81,3.64,4.24,有,
土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７３號十樓,14.86,住,,,1080406,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,114.02,2,2,1,有,有,12220000,119523,坡道平面,29.35,2100000,預售屋、或土地及建物分件登記案件；,RPWQMLOJLHHGFAF28DA,48.81,3.64,3.52,有,
土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７３號四樓,14.86,住,,,1080324,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,114.02,2,2,1,有,有,11610000,114681,坡道平面,29.35,1900000,預售屋、或土地及建物分件登記案件；,RPXQMLOJLHHGFAF38DA,48.81,3.64,3.52,有,
土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７５號二樓,17.42,住,,,1071227,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,131.69,2,2,1,有,有,14020000,118429,坡道平面,29.35,1900000,預售屋、或土地及建物分件登記案件；,RPQRMLOJLHHGFAF77DA,61.4,0.0,4.9,有,
土城區,房地(土地+建物),新北市土城區青雲路３７４之１﹐３７４號三樓,46.4,住,,,1110225,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731115,143.51,4,2,2,有,無,12000000,83618,,0.0,0,其他增建:房間，增建交接處，增建之主臥、窗戶、牆壁陽台外推；其他增建；,RPPOMLPJLHHGFAF47DA,124.46,0.0,19.05,無,
板橋區,房地(土地+建物),新北市板橋區吳鳳路８６號九樓,7.01,住,,,1080920,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101126,45.650000000000006,1,0,1,有,無,6970000,152683,,0.0,0,1.雨遮不計價預售屋、或土地及建物分件登記案件；,RPXOMLRJLHHGFAF48DA,23.59,2.66,2.94,有,
板橋區,房地(土地+建物),新北市板橋區吳鳳路８６號九樓之１,6.72,住,,,1080920,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101126,43.75,1,0,1,有,無,6690000,152914,,0.0,0,1.雨遮不計價預售屋、或土地及建物分件登記案件；,RPPPMLRJLHHGFAF77DA,22.97,1.39,3.63,有,
板橋區,房地(土地+建物),新北市板橋區中正路３３６號四樓之三,16.83,住,,,1110304,土地1建物1車位0,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830531,116.57,3,2,2,有,有,16350000,140259,,0.0,0,,RPPNMLKKLHHGFAF96DA,79.46,0.86,11.95,有,
板橋區,房地(土地+建物)+車位,新北市板橋區重慶路２４５巷９弄１號二樓,19.92,住,,,1110227,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010612,145.71,3,2,2,有,有,21700000,151687,升降機械,13.2,1600000,其他增建；,RPVNMLKKLHHGFAF57DA,80.65,3.56,12.05,有,0001
板橋區,房地(土地+建物),新北市板橋區田單街２巷２７號二樓,71.5,住,,,1110305,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,109.92,3,2,1,有,無,11000000,100073,,0.0,0,,RPTNMLMKLHHGFAF57DA,109.92,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區重慶路２４７號五樓之一,12.55,,,,1110213,土地1建物1車位0,五層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0811208,186.45,4,2,2,有,有,22200000,119067,,0.0,0,,RPPOMLPKLHHGFAF57DA,157.97,0.0,14.09,有,
土城區,房地(土地+建物),新北市土城區中央路三段１８３之７號四樓,12.94,,,,1110215,土地4建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940120,119.03,3,2,2,有,有,11880000,99807,,0.0,0,陽台外推；,RPVRMLQKLHHGFAF58DA,74.95,0.0,10.5,有,
板橋區,房地(土地+建物),新北市板橋區四川路二段２４５巷６６號四樓,26.85,住,,,1101127,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871204,128.4,4,2,2,有,有,15530000,120950,,0.0,0,陽台外推；其他增建；,RPTOMLRKLHHGFAF18DA,90.14,0.0,12.29,有,
土城區,房地(土地+建物)+車位,新北市土城區裕華街２７號十九樓,22.89,工,,,1110221,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080625,126.0,0,0,0,無,有,14500000,137797,坡道平面,33.11,1700000,,RPTQMLRKLHHGFAF38DA,53.92,2.08,6.5,有,
板橋區,房地(土地+建物),新北市板橋區新海路３９３號四樓,23.77,住,,,1110218,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,84.86,3,2,2,有,無,8880000,104643,,0.0,0,其他增建；,RPXNMLLLLHHGFAF97DA,75.94,0.0,8.92,無,
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路１９６巷１０號十二樓,16.57,住,,,1110115,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100324,146.17000000000002,2,2,2,有,無,23280000,186687,坡道平面,36.2,2750000,本案尚未成立管理委員會。含裝潢費；預售屋、或土地及建物分件登記案件；,RPVQMLPLLHHGFAF48DA,62.56,6.37,3.77,有,
土城區,房地(土地+建物)+車位,新北市土城區中華路一段２１９號十四樓之１,21.83,商,,,1110225,土地1建物1車位1,十四層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,179.9,1,0,0,有,有,21380000,136023,坡道平面,39.63,2300000,,RPPNMLQLLHHGFAF67DA,76.74,10.68,4.53,有,
板橋區,房地(土地+建物),新北市板橋區光環路二段５８號十二樓,14.04,住,,,1101206,土地1建物1車位0,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1071213,99.72,2,2,2,有,有,17300000,173486,,0.0,0,,RPWNMLOLLHHGFAF18DA,56.96,2.6,6.07,有,0002
板橋區,房地(土地+建物),新北市板橋區三民路二段３５巷１７號十二樓,13.12,住,,,1110309,土地1建物1車位0,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810305,164.29999999999998,3,2,2,有,有,24090000,146622,,0.0,0,,RPWPMLSLLHHGFAF78DA,133.83,1.38,15.74,有,
板橋區,房地(土地+建物)+車位,新北市板橋區新府路１００號二十樓,4.97,都市：其他:第二種特定專用區,,,1110313,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971119,79.61,1,1,1,有,有,12680000,159276,坡道平面,31.02,0,夾層；,RPRQMLSLLHHGFAF38DA,28.93,0.0,2.35,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路３９６號十一樓,18.67,住,,,1100320,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110127,151.81,2,2,2,有,有,22280000,163556,坡道平面,29.65,2300000,賣方補貼買方坪差金額70030元。,RPORMLSLLHHGFAF18DA,67.7,10.03,3.05,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５９６號二樓,16.24,商,,,1110215,土地1建物1車位1,二層,十九層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1100421,143.87,5,2,2,有,有,18750000,145175,坡道平面,29.87,2200000,5房為5室,RPSRMLSLLHHGFAF58DA,63.29,6.76,3.9,有,0003
土城區,房地(土地+建物)+車位,新北市土城區中央路二段２７０巷１２號七樓,24.69,住,,,1110124,土地2建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841019,149.58,3,2,2,有,有,12000000,80225,坡道機械,0.0,0,含土地增值稅或其他稅費67868元；頂樓加蓋；,RPPNMLTLLHHGFAF97DA,98.49,0.0,12.99,有,
土城區,房地(土地+建物)+車位,新北市土城區中央路一段２６８號三十樓,23.63,商,,,1110122,土地1建物1車位1,三十層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,191.88,1,0,0,有,有,22500000,132020,坡道平面,39.63,2400000,工程折讓13萬元,RPVOMLTLLHHGFAF68DA,85.48,9.4,4.9,有,
土城區,房地(土地+建物)+車位,新北市土城區日和街１３號三十樓,24.35,商,,,1110127,土地1建物1車位1,三十層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,196.68,1,0,0,有,有,22870000,130977,坡道平面,39.63,2300000,工程折讓12萬元,RPWOMLTLLHHGFAF78DA,88.12,9.82,5.02,有,
土城區,房地(土地+建物)+車位,新北市土城區日和街１５號三樓,22.04,商,,,1110227,土地1建物1車位1,三層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,181.32,1,0,0,有,有,22600000,143271,坡道平面,39.63,2300000,工程折讓12萬元整,RPXOMLTLLHHGFAF88DA,87.88,0.0,5.02,有,
板橋區,房地(土地+建物),新北市板橋區光正街４５巷６弄１５號二樓,21.75,住,,,1110222,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0650116,78.88,2,2,1,有,無,12100000,153398,,0.0,0,後陽台外推，依使用現況點交其他增建；,RPPPMLTLLHHGFAF18DA,78.88,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區四川路一段５７號三樓,3.24,商,,,1110306,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0820705,34.81,0,0,0,無,有,5580000,160299,,0.0,0,,RPSPMLTLLHHGFAF48DA,25.9,0.26,0.0,有,
土城區,房地(土地+建物),新北市土城區福祥街５０號五樓,32.6,住,,,1110304,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,108.3,3,2,2,有,無,12500000,115420,,0.0,0,,RPPNMLKMLHHGFAF17DA,100.5,0.0,7.8,無,
