鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,桃園市桃園區春日路４６５號十樓,18.09,住,,,1090902,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101126,142.48000000000002,3,2,2,有,有,10460000,82060,坡道平面,34.51,1600000,預售屋、或土地及建物分件登記案件；,RPWQMLTLKIGGFAH09DA,67.09,0.0,6.36,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區春日路４６３號八樓,14.45,住,,,1091028,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101126,120.7,2,2,1,有,有,8600000,80056,坡道平面,34.51,1700000,預售屋、或土地及建物分件登記案件；,RPSRMLTLKIGGFAH78DA,53.41,0.0,5.23,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷６０號八樓,31.54,住,,,1090906,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110118,136.59,3,2,2,有,有,9580000,83369,坡道平面,43.87,1850000,預售屋、或土地及建物分件登記案件；,RPWOMLPKKHHGFAH38DA,56.66,0.0,5.43,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷５８號七樓,29.89,住,,,1090620,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110118,132.98000000000002,3,2,2,有,有,8900000,80232,坡道平面,45.11,1850000,預售屋、或土地及建物分件登記案件；,RPTQMLPKKHHGFAH28DA,53.74,0.0,5.12,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷５６號二樓,29.84,住,,,1090412,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110118,131.59,3,2,2,有,有,8550000,77519,坡道平面,43.87,1750000,更名時間110/10/24，交易金額不變。預售屋、或土地及建物分件登記案件；,RPOOMLQKKHHGFAH67DA,53.74,0.0,5.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷５６號四樓,29.89,住,,,1091128,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110118,131.74,3,2,2,有,有,8930000,81712,坡道平面,43.87,1750000,更名時間110/12/21，交易金額不變。預售屋、或土地及建物分件登記案件；,RPQOMLQKKHHGFAH87DA,53.74,0.0,5.12,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷５６號五樓,29.89,住,,,1090313,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110118,131.74,3,2,2,有,有,8710000,79208,坡道平面,43.87,1750000,預售屋、或土地及建物分件登記案件；,RPROMLQKKHHGFAH97DA,53.74,0.0,5.12,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷５２號四樓,31.54,住,,,1090612,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110118,136.59,3,2,2,有,有,9720000,84879,坡道平面,43.87,1850000,預售屋、或土地及建物分件登記案件；,RPTTMLOKKHHGFAH48DA,56.66,0.0,5.43,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷５２號五樓,31.54,住,,,1090313,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110118,136.59,3,2,2,有,有,9680000,85526,坡道平面,43.87,1750000,預售屋、或土地及建物分件登記案件；,RPUTMLOKKHHGFAH58DA,56.66,0.0,5.43,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷５８號,38.71,住,,,1090503,土地1建物1車位1,一層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,1110118,164.89,3,2,2,有,有,11920000,89375,坡道平面,51.1,1750000,更名時間110/11/24，交易金額不變。預售屋、或土地及建物分件登記案件；,RPQUMLOKKHHGFAH28DA,63.45,0.0,12.74,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷６２號七樓,28.06,住,,,1090329,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110118,126.35,2,2,2,有,有,8610000,83172,坡道平面,43.87,1750000,預售屋、或土地及建物分件登記案件；,RPVUMLOKKHHGFAH78DA,50.11,0.0,5.15,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區民富十一街３９號四樓,24.03,住,,,1110219,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841214,143.5,3,2,2,有,有,8650000,60279,坡道平面,0.0,0,,RPSOMLPLKHHGFAH08DA,80.23,1.49,9.41,有,
桃園區,房地(土地+建物),桃園市桃園區寶山街２３３號五樓之４,10.68,住,,,1110301,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860918,68.86,3,2,1,有,有,5150000,74800,,0.0,0,其他增建；,RPPNMLSJLHHGFAH87DA,53.16,0.0,7.06,有,
桃園區,房地(土地+建物),桃園市桃園區中山路７７７號一樓之３,16.99,都市：其他:第二種住宅區,,,1110301,土地1建物1車位0,一層,二十層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0881201,138.0,0,0,0,無,有,9180000,66522,,0.0,0,,RPWNMLTJLHHGFAH68DA,102.68,0.0,10.66,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區泰昌三街２０１號五樓,22.89,住,,,1110219,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870615,158.11,4,2,2,有,有,9700000,61350,坡道平面,22.17,0,陽台外推；,RPXPMLLKLHHGFAH28DA,90.38,0.0,9.31,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區福元街２１０號五樓,28.79,住,,,1110312,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041208,113.06,2,2,1,有,有,9700000,85175,一樓平面,14.44,1300000,,RPQNMLMKLHHGFAH47DA,53.95,3.08,7.47,有,001
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路６５２巷１６號十一樓,8.26,住,,,1110222,土地1建物1車位1,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860901,90.85,2,2,1,有,有,6850000,75391,坡道機械,0.0,0,,RPUQMLRKLHHGFAH68DA,47.51,0.0,7.36,有,002
桃園區,房地(土地+建物)+車位,桃園市桃園區桃鶯路２９６巷３２號八樓,21.63,工,,,1110303,土地2建物1車位1,八層,八層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0821110,115.29,3,2,2,有,有,6820000,59155,坡道平面,0.0,0,,RPRNMLSKLHHGFAH18DA,75.83,0.0,8.96,有,003
桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路二段１９１之１號十四樓,17.58,住,,,1110218,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920819,168.11,3,2,2,有,有,11320000,67337,坡道平面,0.0,0,,RPTOMLNLLHHGFAH08DA,86.97,1.86,11.48,有,004
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路１４００之３號八樓,27.45,住,,,1110305,土地1建物1車位1,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021231,171.60000000000002,3,2,1,有,有,19380000,112937,坡道平面,0.0,0,,RPVNMLOLLHHGFAH28DA,90.09,4.75,5.39,有,005
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路二段６９巷６６號九樓,11.08,住,,,1110217,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000309,93.32,1,1,1,有,有,8180000,87655,坡道平面,0.0,0,,RPTNMLSLLHHGFAH48DA,35.02,0.0,7.83,有,006
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷５６號,38.61,住,,,1090530,土地1建物1車位1,一層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,1110118,157.38,0,0,0,無,有,12150000,90741,坡道平面,43.87,1850000,預售屋、或土地及建物分件登記案件；,RPUNMLSLLHHGFAH58DA,63.45,0.0,12.57,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路１９８巷５６號八樓,29.89,住,,,1090329,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110118,131.74,3,2,2,有,有,8760000,79777,坡道平面,43.87,1750000,預售屋、或土地及建物分件登記案件；,RPVNMLSLLHHGFAH68DA,53.74,0.0,5.12,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段２５０號十二樓,11.48,住,,,1110126,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940302,129.14,3,2,1,有,有,10200000,78984,坡道平面,23.95,0,,RPTOMLSLLHHGFAH58DA,66.05,4.0,7.52,有,
桃園區,土地,三元段505地號,26.8,工,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2108028,78658,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVQMLSLLHHGFAH98DA,0.0,0.0,0.0,無,007
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路３６０號九樓,30.82,住,,,1110306,土地2建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030403,233.9,4,2,2,有,有,19000000,81231,坡道平面,59.98,0,,RPTNMLTLLHHGFAH58DA,104.79,2.19,11.44,有,008
桃園區,房地(土地+建物),桃園市桃園區慈華街１１巷８號,87.0,住,,,1110211,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0670822,100.52,4,2,2,有,無,13000000,129327,,0.0,0,,RPSPMLTLLHHGFAH68DA,100.52,0.0,0.0,無,
桃園區,土地,大有段728地號,41.68,住,,,1110318,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5044000,121017,,0.0,0,,RPWQMLTLLHHGFAH56DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物),桃園市桃園區民權路１４８號,14.31,商,,,1110311,土地3建物1車位0,一層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1001116,86.46,1,1,1,有,有,10000000,115660,,0.0,0,,RPTOMLKMLHHGFAH87DA,63.8,0.0,0.0,有,
桃園區,房地(土地+建物),桃園市桃園區大興西路一段３２５號四樓之３,8.82,住,,,1110207,土地1建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860701,76.28,2,2,1,有,有,6900000,90456,,0.0,0,,RPOQMLLMLHHGFAH67DA,53.82,0.0,8.4,有,009
中壢區,房地(土地+建物)+車位,桃園市中壢區文發路２７號十一樓,26.51,住,,,1101118,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110121,158.03,3,2,2,有,有,15450000,108529,坡道平面,34.1,2000000,預售屋、或土地及建物分件登記案件；,RPWOMLLKKHHGFBH08DA,76.14,0.0,6.9,有,
